,Gaia2,RAdeg,DEdeg,PDis,plx,e_plx,Gmag,e_Gmag,Bpmag,e_Bpmag,Rpmag,e_Rpmag,Sep,pmRA,e_pmRA,pmDE,e_pmDE,Age,PreAge,CoolAge,[Fe/H],DM,Av,e_Age,e_PreAge,e_CoolAge,e_[Fe/H],e_DM,e_Av,Nb,PCont
670,1053864376052875648,161.820252,60.739736,0.0049299999999999995,4.895,69.148,16.535999999999998,0.0008,17.944000000000003,0.011000000000000001,15.366,0.002,3629.4379,-40.289,0.078,-78.65100000000001,0.094,3.1069999999999998,0.294,2.813,-0.6890000000000001,6.5920000000000005,0.057,0.14400000000000002,0.07400000000000001,0.18600000000000003,0.662,0.032,0.009000000000000001,7.0,0.005
671,932742106417466240,118.813934,47.076238000000004,0.00155,4.504,52.184,16.464000000000002,0.0008,17.748,0.011000000000000001,15.343,0.003,1237.1576,-15.460999999999999,0.127,-23.351999999999997,0.10099999999999999,6.541,5.584,0.9570000000000001,-0.8490000000000001,6.921,0.09300000000000001,2.634,2.655,0.035,0.611,0.039,0.012,7.0,0.0
672,5089999866006003200,62.41432,-21.887385000000002,0.00367,6.0089999999999995,70.128,17.132,0.0008,18.621,0.011000000000000001,15.931,0.003,2197.0318,10.001,0.11199999999999999,-21.147,0.128,2.144,1.296,0.847,-0.715,6.229,0.053,0.382,0.397,0.027999999999999997,0.611,0.031,0.009000000000000001,7.0,0.0
673,4575670935239503488,270.084928,19.774776,0.01229,5.3839999999999995,89.773,15.823,0.0012,16.98,0.008,14.702,0.002,8216.0265,2.767,0.114,-31.177,0.156,2.778,1.5330000000000001,1.245,-0.7170000000000001,6.642,0.071,0.431,0.451,0.036000000000000004,0.628,0.023,0.011000000000000001,7.0,0.064
674,3961208621539466240,190.785567,25.563370000000003,0.0021,4.728,28.853,17.95,0.0014,19.489,0.035,16.712,0.004,1601.1142,-10.323,0.22699999999999998,-23.427,0.161,2.49,0.659,1.8319999999999999,-0.767,6.685,0.098,0.184,0.25,0.21899999999999997,0.635,0.069,0.01,7.0,0.0
675,4461192945655073280,249.01799,13.327214000000001,0.004379999999999999,4.158,164.57299999999998,13.523,0.0005,14.124,0.002,12.800999999999998,0.001,3791.7304,-22.607,0.028999999999999998,-10.825,0.022000000000000002,2.645,1.109,1.536,-0.7190000000000001,7.105,0.156,0.4,0.447,0.068,0.627,0.013999999999999999,0.013999999999999999,7.0,0.006
676,1340976858117114496,257.367984,37.736881,0.00626,5.9079999999999995,131.005,15.523,0.0008,16.831,0.005,14.384,0.002,3812.6793,41.813,0.08199999999999999,44.688,0.08199999999999999,7.007000000000001,5.893,1.115,-0.8240000000000001,6.254,0.10300000000000001,2.2319999999999998,2.242,0.019,0.606,0.017,0.01,7.0,0.006
677,964983360757877888,97.805307,44.286086,0.0016300000000000002,6.354,39.305,15.94,0.001,17.264,0.015,14.802,0.004,925.2778,-20.129,0.14400000000000002,-26.959,0.133,2.945,1.8559999999999999,1.089,-0.7240000000000001,6.3629999999999995,0.087,0.6629999999999999,0.7020000000000001,0.059000000000000004,0.647,0.053,0.01,7.0,0.0
678,914060819746183424,131.217797,43.64805,0.0027,4.459,60.043,16.424,0.0008,17.633,0.011000000000000001,15.335,0.003,2180.1432,24.418000000000003,0.11599999999999999,-5.301,0.10800000000000001,2.5180000000000002,0.978,1.54,-0.688,6.845,0.07400000000000001,0.278,0.32299999999999995,0.08,0.647,0.036000000000000004,0.011000000000000001,7.0,0.0
679,5752009460539091456,127.638478,-9.417735,0.00783,5.817,97.329,15.554,0.0005,16.825,0.006,14.433,0.002,4848.4422,-15.761,0.092,10.505999999999998,0.081,1.681,1.032,0.649,-0.732,6.295,0.055,0.292,0.298,0.016,0.6409999999999999,0.021,0.009000000000000001,7.0,0.01
680,3191747256021968384,64.923559,-9.432839,0.00176,5.331,46.726000000000006,17.514,0.001,19.055,0.026000000000000002,16.314,0.005,1187.7106,42.891999999999996,0.149,89.365,0.114,3.3689999999999998,2.592,0.777,-0.722,6.526,0.073,1.296,1.3159999999999998,0.033,0.632,0.043,0.01,7.0,0.0
681,3805854053805046528,159.51165500000002,-1.389448,0.0032,5.544,167.903,13.795,0.0004,14.645,0.004,12.895999999999999,0.001,2080.7196,-26.500999999999998,0.048,-31.996,0.04,2.358,1.945,0.413,-0.794,6.46,0.061,0.5720000000000001,0.5720000000000001,0.006999999999999999,0.629,0.013000000000000001,0.011000000000000001,7.0,0.0
682,3162321030625018240,114.189749,11.995334,0.0106,6.082000000000001,52.786,17.003,0.0013,18.484,0.025,15.789000000000001,0.003,6275.9503,-35.339,0.19699999999999998,-10.470999999999998,0.13699999999999998,2.951,1.8659999999999999,1.085,-0.728,6.265,0.079,0.5429999999999999,0.552,0.019,0.634,0.013000000000000001,0.01,7.0,0.034
683,1691077780060194560,181.98344699999998,74.926241,0.02545,5.895,117.066,15.573,0.0006,16.647000000000002,0.013999999999999999,14.450999999999999,0.006,15544.2868,11.474,0.09300000000000001,-22.416,0.107,2.8480000000000003,2.705,0.142,-0.789,6.266,0.036000000000000004,0.995,0.9940000000000001,0.005,0.64,0.018000000000000002,0.008,7.0,0.14800000000000002
684,806968623422919040,151.409019,42.255534999999995,0.00103,5.216,24.75,18.144000000000002,0.0018,19.768,0.033,16.88,0.006,712.346,-34.077,0.255,-24.206,0.257,3.16,2.189,0.971,-0.731,6.457000000000001,0.071,1.335,1.392,0.083,0.643,0.083,0.01,7.0,0.0
685,2149922570948948096,273.411338,54.821002,0.0007,5.801,51.995,17.891,0.0013,19.429000000000002,0.039,16.578,0.006999999999999999,434.9053,13.886,0.215,-23.679000000000002,0.214,0.94,0.5770000000000001,0.363,-0.7170000000000001,6.265,0.065,0.165,0.171,0.018000000000000002,0.639,0.036000000000000004,0.01,7.0,0.0
686,833792034216594944,159.094862,47.479625,0.0088,5.125,21.208000000000002,17.609,0.0013,19.038,0.045,16.410999999999998,0.004,6179.7645,-17.054000000000002,0.166,-53.045,0.285,2.326,0.6809999999999999,1.646,-0.696,6.517,0.077,0.247,0.361,0.253,0.626,0.1,0.01,7.0,0.033
