designation,source_id,bp_rp,bp_g,g_rp,l,b
Gaia DR2 3082300326703352704,3082300326703352704,2.2118778,1.1439934,1.0678844,221.7328217315116,13.419045367568811
Gaia DR2 2919699496307498624,2919699496307498624,2.6838417,1.4887829,1.1950588,236.45686510957592,-14.097019979971925
Gaia DR2 1165357255995585152,1165357255995585152,2.4538956,1.321558,1.1323376,14.745724441269527,48.41977749744228
Gaia DR2 2107359823003231232,2107359823003231232,2.4826488,1.3103046,1.1723442,76.62665072067945,18.416864413889915
Gaia DR2 3854166693513288064,3854166693513288064,1.6550264,0.79080486,0.8642216,228.01507112305217,40.54318505289672
Gaia DR2 1445523199689249664,1445523199689249664,1.383153,0.63341427,0.7497387,31.132825230442737,78.83368872383926
Gaia DR2 1675571161414528128,1675571161414528128,1.7643166,0.8539543,0.91036224,119.5591092680595,55.092109900796494
Gaia DR2 2571895965250743808,2571895965250743808,2.0567179,1.0482855,1.0084324,142.4484128344081,-52.659910806651325
Gaia DR2 1350243262942107520,1350243262942107520,2.717327,1.4939137,1.2234135,70.48514974352459,31.4552762587861
Gaia DR2 2410371346284009472,2410371346284009472,1.1902647,0.51374435,0.67652035,55.14496928738937,-62.16783083706727
Gaia DR2 3494590455240632704,3494590455240632704,1.6939621,0.8146448,0.8793173,285.81613068754007,40.20845460560367
Gaia DR2 3646460185293332224,3646460185293332224,2.4348173,1.3030262,1.1317911,342.62362845948036,53.4017253442305
Gaia DR2 781129035018519040,781129035018519040,2.3953342,1.2681828,1.1271515,172.86685823952905,59.49021752413155
Gaia DR2 1096548409579913088,1096548409579913088,2.5032196,1.3418941,1.1613255,146.8729028359072,30.297582556572223
Gaia DR2 1217256992263508480,1217256992263508480,1.7761078,0.8642168,0.911891,34.35987266260981,51.031433797362624
Gaia DR2 1830938652715640320,1830938652715640320,1.1239319,0.484725,0.6392069,64.88568179953164,-8.82697580520544
Gaia DR2 3082907566360442496,3082907566360442496,2.6640606,1.4605923,1.2034683,223.0391312945791,16.1763190253832
