,Gaia2,RAdeg,DEdeg,PDis,plx,e_plx,Gmag,e_Gmag,Bpmag,e_Bpmag,Rpmag,e_Rpmag,Sep,pmRA,e_pmRA,pmDE,e_pmDE,RVel,e_RVel,Age,PreAge,CoolAge,[Fe/H],DM,Av,e_Age,e_PreAge,e_CoolAge,e_[Fe/H],e_DM,e_Av,Nb,PCont
2838,280320,329.857568,-16.074413,0.00214,7.125,61.074,16.513,0.0013,17.996,0.007,15.303,0.003,1014.7631,-22.11,0.182,-61.453,0.159,0.0,0.0,4.641,4.263,0.378,-0.789,5.855,0.04,1.936,1.943,0.013,0.6,0.034,0.009,7,0.0
2839,451200,328.511818,-8.427015,0.00403,7.152,140.8,11.629,0.0012,12.12,0.004,11.01,0.003,2085.9528,17.698,0.083,-7.98,0.068,-30.513,1.18,1.248,0.352,0.896,-0.718,5.89,0.063,0.067,0.077,0.024,0.661,0.015,0.01,7,0.0
2840,1640576,198.593794,30.845092,0.00444,7.18,229.558,11.875,0.0005,12.43,0.001,11.196,0.001,2246.0596,-47.837,0.043,26.413,0.042,-10.868,0.392,2.058,1.488,0.57,-0.731,5.748,0.034,0.351,0.353,0.006,0.627,0.01,0.006,7,0.0
2841,635264,346.329998,-26.886851,0.00361,7.202,214.188,14.284,0.0005,15.218,0.003,13.333,0.001,1752.3166,67.13,0.075,9.711,0.055,0.0,0.0,1.404,0.184,1.22,-0.637,5.794,0.043,0.027,0.026,0.029,0.644,0.011,0.009,7,0.0
2842,112512,6.045808,32.304211,0.00205,7.205,175.231,12.537,0.0002,13.125,0.001,11.822,0.001,982.9652,28.371,0.056,34.399,0.051,21.635,1.323,4.591,4.03,0.561,-0.77,5.914,0.039,1.502,1.505,0.007,0.653,0.013,0.009,7,0.0
2843,474880,148.255677,24.799084,0.02426,7.268,26.575,17.94,0.0025,19.638,0.103,16.627,0.007,11192.8293,6.867,0.33,-23.051,0.32,0.0,0.0,1.127,0.507,0.62,-0.654,5.624,0.036,0.134,0.16,0.047,0.643,0.062,0.009,7,0.097
2844,347264,158.177985,35.161044,0.00149,7.271,233.583,14.721,0.0004,15.827,0.003,13.681,0.002,785.5578,-42.357,0.046,-86.126,0.056,0.0,0.0,4.112,3.099,1.013,-0.771,5.75,0.003,1.17,1.177,0.013,0.614,0.009,0.003,7,0.0
2845,1105280,193.957595,16.431167,0.00429,7.303,243.968,13.269,0.0003,14.079,0.002,12.394,0.001,2125.2731,37.918,0.051,-10.59,0.033,-20.096,1.934,2.728,1.655,1.073,-0.706,5.808,0.065,0.438,0.445,0.015,0.646,0.009,0.009,7,0.0
2846,844672,200.891312,71.247703,0.00251,7.314,231.901,12.691,0.0002,13.354,0.001,11.925,0.001,1225.3023,-35.659,0.053,44.095,0.046,46.965,0.554,2.319,1.885,0.433,-0.78,5.713,0.046,0.523,0.523,0.005,0.657,0.009,0.007,7,0.0
2847,10583808,109.578891,-29.503534,0.01682,7.328,204.774,8.974,0.0002,9.255,0.001,8.569,0.001,7705.3708,11.414,0.054,-50.755,0.061,-16.901,10.723,7.447,6.322,1.125,-0.883,6.258,0.093,2.745,2.758,0.021,0.602,0.011,0.015,7,0.057
