,Gaia2,Gmag,bp_rp,bp_g,g_rp,ra,de,PDis,plx,Sep,pmRA,pmDE,Age,e_Age,PreAge,e_PreAge,CoolAge,feh,DM,Av,Nb,PCont,l,b
77,245286514287796608,17.610872,2.5649529,1.3977222,1.1672306,57.001175,47.071085,0.00143,2.962,1743.6015,31.999,-39.312,1.524,0.594,1.244,0.612,0.28,-0.7140000000000001,7.941,0.465,7,0.0,151.40718899916644,-5.803846497436187
78,246673857444755968,15.45676,1.9867096,0.99744415,0.98926544,58.81095300000001,47.536585,0.00365,3.76,3494.5259,-6.5120000000000005,-15.754,10.204,2.277,9.593,2.281,0.612,-1.06,7.7,0.102,7,0.005,152.0661372165391,-4.667142744902927
79,247074973030462208,16.715763,2.4183846,1.2923298,1.1260548,59.435809,48.838801,0.00115,3.829,1084.91,-14.559,-15.451,4.472,1.87,3.905,1.883,0.5670000000000001,-0.807,7.287000000000001,0.083,7,0.0,151.54382687902662,-3.40309028519616
80,253736604744731648,11.906057,1.1029377,0.48235226,0.62058544,66.613395,45.327029,0.00527,5.587999999999999,3382.7878,26.768,-24.698,11.784,1.214,11.609000000000002,1.213,0.174,-1.405,6.242000000000001,0.001,7,0.004,157.51492799808588,-2.618881528421775
81,254797805262868992,15.587685,2.3604116000000004,1.2536945,1.1067171,72.529818,46.658972,0.017490000000000002,6.456,9814.1654,8.169,21.926,3.383,0.99,2.498,1.001,0.885,-0.755,5.95,0.014,7,0.083,159.2709536633507,1.3278356088914751
82,261675040039311616,16.249172,2.6489124,1.4608383,1.1880741,79.447182,50.308641,0.00465,5.7029999999999985,2692.7655,27.177,-0.5660000000000001,1.648,0.267,0.894,0.282,0.754,-0.763,6.222,0.002,7,0.001,159.13907630661637,7.182476904051695
83,265001616763644928,13.995951000000002,2.0770150000000003,1.0606632,1.0163517,83.94962199999998,54.840304,0.00455,8.139,2067.923,38.856,-32.635,1.41,0.027000000000000003,0.202,0.028,1.208,-0.6409999999999999,5.447,0.085,7,0.0,156.7668563026987,11.92882947979479
84,265568685590563328,15.004754,2.1788092,1.123147,1.0556622,87.53662299999998,56.448521,0.00281,5.871,1724.5563,-4.886,-62.161,5.8870000000000005,2.074,5.682,2.074,0.204,-0.8290000000000001,6.1560000000000015,0.003,7,0.0,156.33492852411155,14.479166173471965
85,266260145262160640,16.143353,2.4207506000000003,1.2978954,1.1228552,78.253908,53.90303299999999,0.00239,3.012,2860.0775,1.863,10.096,10.617,2.1790000000000003,10.078,2.184,0.539,-1.218,8.124,0.129,7,0.002,155.7379088455894,8.634205720176373
86,267776887192982784,15.789853,2.5461082000000004,1.3843698999999998,1.1617383999999995,78.478944,55.924426,0.0082,7.187,4107.4972,-33.167,23.341,4.065,0.048,0.104,0.009000000000000001,3.961,-0.6579999999999999,5.718,0.071,7,0.006999999999999999,154.13202889393813,9.895497582321845
